#	字典配置表		
#	Key		Value
#	string		string
#	字典主键	策划备注	字典内容，可使用转义符
	CHANGE_SCENE_SUCCESS	切换场景成功	Successful handovescenario
	UI_TEXT_ATTRIBUTE_NUMBER_SECOND	{0:F2} /s	{0:F2}/s
	UI_TEXT_ITEM_HAVE_COUNT	拥有 {0} 件	Have {0} pieces
	UI_TEXT_QUALITY_PLUS_NUMBER	Lv{0} +{1}	Lv{0}+1}
	UI_TEXT_GERA_NAME_LEVEL	{0}(Lv.{0})	{0} (Lv. {0})
	UI_BUTTON_OPEN	开启	Open
	UI_BUTTON_BADGE_BAG	[u]徽章背包[/u]	[u] badge backpack [/u]
	UI_TITLE_BADGE_BAG	徽章背包	Badge Backpack
	UI_TEXT_OPENED_CAN_INLAY	开启后才可镶嵌	Inlay only after opening
	UI_TEXT_OPEN_CONDITION	开启条件：	Opening conditions:
	UI_TEXT_SKILL_LEVEL	技能等级：	Skill Level:
	UI_TEXT_HERO_QUALITY	英雄品质：	Heroic qualities:
	UI_TEXT_HERO_STARUP	英雄星级：	Hero Stars:
	UI_BUTTON_REPLACE	替换	replace
	UI_BUTTON_BADGE_PIECES	徽章合成	Emblem synthesis
	UI_BUTTON_SKILL_EXCLUSIVE	技能专属	Skills exclusive
	UI_BUTTON_BLUE	蓝色	Blue
	UI_BUTTON_RAD	红色	Gules
	UI_BUTTON_COLOUR	多彩	Colourful
	UI_BUTTON_STAGE_ADVANCE	进阶	Advanced
	UI_TEXT_SKILL_BADGE_STAGE_ADVANCE	徽章进阶	Emblem Advancement
	UI_TEXT_THREE_IN_ONE	{0}合1	{0} combined with 1
	UI_TEXT_NOT_UNLOCK	未解锁	Ununlocked
	UI_TEXT_CHAT_TEXT_CEILING	超出文字发送上限，最大上限50字！	Out of the upper limit of text transmission, the maximum limit of 50 words! ......
	UI_TEXT_CHAT_OPEN_LEVEL	聊天功能开启等级为10级！	Chat function open level is 10!
	UI_TEXT_CHAT_SEND_CD	等待10秒后可再次发送世界信息！	Wait 10 seconds to send the world information again!
	UI_TEXT_CHAT_REMOVE_SHIELD_TIPS	是否解除对{0}的屏蔽效果？	Does it remove the shielding effect on {0}?
	UI_TEXT_CHAT_SHIELD_TIPS	是否对{0}的聊天内容进行屏蔽？	Is {0} chat blocked?
	UI_TEXT_CHAT_REMOVE_SHIELD	与{0}屏蔽效果解除成功！	With {0} shielding effect removed successfully!
	UI_TEXT_CHAT_TEXT_CEILING_PROMPT	发送内容超出最大上限，无法继续输入！	Send content beyond the maximum limit, can not continue to enter!
	UI_TEXT_CHAT_SHIELDING_CEILING	屏蔽玩家数量已达上限，无法继续屏蔽！	The number of blocked players has reached the upper limit, and can not continue to block!
	UI_TEXT_CHAT_SHIELDING_QUANTITY_LIMIT	当前屏蔽玩家数量已达上限！	The current number of blocked players has reached the upper limit!
	UI_TEXT_CHAT_SCREEN_NUMBER_DISPLAY	屏蔽玩家数量：{0}/20	Number of blocked players: {0}/20
	UI_TEXT_CHAT_SHIELDING_CAN_NOT_SEND_INFORMATION	该玩家已被您屏蔽，无法发送私聊信息	The player has been blocked by you and cannot send private chat messages.
	UI_TEXT_FRIENDS_NOBODY_RECEIVE	当前没有好友可赠送体力！	At present, there is no good friend to give away physical strength! ......
	UI_TEXT_INSTANCE_NAME1	运营活动	Operational activities
	UI_TEXT_INSTANCE_NAME2	商店	Shop
	UI_TEXT_INSTANCE_NAME3	抽奖	Luck draw
	UI_TEXT_ADD_EXP	增加经验值	Increasing Empirical Value
	UI_TEXT_EXP_NOW_MAX	经验已满	Experience is full
	UI_TEXT_HERO_MAX_TOTAL_QUALITY_LEVEL	英雄已达到最高品质	Heroes have attained the highest quality
	UI_TEXT_QUALITY_NUMBER	Lv {0}	Lv {0}
	UI_TEXT_GREEN	绿	Green
	UI_TEXT_BLUE	蓝	Blue
	UI_TEXT_PURPLE	紫	Purple
	UI_TEXT_ORANGE	橙	Orange
	UI_TEXT_GOLD_NOT_ENOUGH	金币不足	Insufficient gold coins
	UI_TEXT_MATERIAL_NOT_ENOUGH	当前所需材料不足	Current material requirements are inadequate
	UI_TEXT_GEAR_LEVEL_LESS_THAN_HERO_LEVEL	装备等级不能超过英雄等级	Equipments should not exceed heroic ranks
	UI_TEXT_GEAR_QUALITY_MAX	装备已达到最高品质	The equipment has reached the highest quality.
	UI_TEXT_CHAT_COST_DIAMOND_OPEN_BADGE	是否花费{0}钻石开启这个徽章？	Did it cost {0} diamonds to open the badge?
	UI_TEXT_STARUP_SUCCESS	升星成功	Successful Ascension
	UI_TEXT_REFINE_SUCCESS	精炼成功	Successful refining
	UI_TEXT_QUALITY_UP_SUCCESS	升品成功	Successful promotion
	UI_BUTTON_DELETE_ALL	全部删除	Delete all
	UI_BUTTON_RECEIVE_ALL	全部接受	Full acceptance
	UI_TEXT_ONE	1	One
	UI_TEXT_TWO	2	Two
	UI_TEXT_THREE	3	Three
	UI_TEXT_FRIENDS_ONLIEN_NUMBER	当前好友（{0}/{1}）	Current Friends ({0}/{1})
	UI_TEXT_ONE_KEY_GIVE	一键赠送	One-click Presentation
	UI_TEXT_ONE_KEY_RECEIVE	一键领取	One-click pick-up
	UI_BUTTON_CANCEL_MASK	取消屏蔽	Cancel Shielding
	UI_BUTTON_IGNORE	忽略	Ignore
	UI_BUTTON_IGNORE_ALL	忽略全部	Ignore all
	UI_TEXT_CHAT_ONLINE	在线	On-line
	UI_TEXT_CHAT_OFFLINE	离线	Off-line
	UI_TEXT_CHAT_MASK_LIST	屏蔽列表	Shielded List
	UI_TEXT_FRIENDS_OPEN_LEVEL	玩家等级达到5级开启好友功能！	Player level up to 5 to turn on Friends!
	UI_TEXT_DAILY_QUEST_OPEN_LEVEL	玩家等级达到10级开启任务功能！	Player level up to 10 to open the task function!
	UI_TEXT_FRIENDS_UPPER_LIMIT_OF_PHYSICAL_STRENGTH	今天领取体力次数已达上限，每天0点刷新领取次数！	Today, the number of physical strength has reached the upper limit, refresh the number of times every day at 0 o'clock!
	UI_TEXT_FRIENDS_NO_PHYSICAL_STRENGTH	当前没有可领取的体力！	There is no physical strength available at present!
	UI_TEXT_FRIENDS_RECEIVE_PHYSICAL_SUCCESS	体力领取成功！	Physical success!
	UI_TEXT_FRIENDS_GIVE_PHYSICAL_STRENGTH_LIMIT	今天赠送体力次数已达上限，每天0点刷新赠送次数！	Today, the number of physical gifts has reached the upper limit, refreshing the number of gifts every day at 0 o'clock!
	UI_TEXT_FRIENDS_PHYSICAL_GIFT_SUCCESS	体力赠送成功！	Physical gift success!
	UI_TEXT_FRIENDS_HAS_REACHED_THE_UPPER_LIMIT	好友数量已达上限，无法添加新的好友！	The number of friends has reached the upper limit. No new friends can be added.
	UI_TEXT_FRIENDS_THE_OTHER_HAS_REACHED_THE_UPPER_LIMIT	对方好友数量已达上限，无法添加新的好友1	The number of each other's friends has reached the upper limit and no new friends can be added.
	UI_TEXT_FRIENDS_ADD_SUCCESS	好友添加成功！	Friends add success!
	UI_TEXT_FRIENDS_RECEIVE_COMPLETION	接受完成！	Accept completion!
	UI_TEXT_FRIENDS_REJECT_APPLICATION	是否拒绝所有好友申请？	Do you reject all friends'applications?
	UI_TEXT_FRIENDS_REFUSE_SUCCESS	拒绝成功！	Refuse to succeed!
	UI_TEXT_FRIENDS_SEND_REQUEST	是否向XXXXX发送好友申请？	Do you send a friend application to XXXXX?
	UI_TEXT_FRIENDS_FIND_PLAYER_INFORMATION_ERROR	没有查找到相关玩家信息，请重新输入！	No relevant player information was found, please re-enter!
	UI_TEXT_FRIENDS_A_KEY_TO_SEND_A_REQUEST	是否对所有列表玩家进行好友请求发送？	Are buddy requests sent to all list players?
	UI_TEXT_FRIENDS_GIVE_ALL_YOUR_FRIENDS_PHYSICAL_STRENGTH	是否一键赠送所有好友体力？	Is it a one-click gift for all your friends?
	UI_TEXT_FRIENDS_GET_ALL_YOUR_GOOD_FRIENDS	是否一键领取所有好友体力？	Do you get all your friends'physical strength by one click?
	UI_TEXT_FRIENDS_ACCEPT_ALL_YOUR_FRIENDS	是否接受全部好友申请？	Do you accept all friends'applications?
	UI_TEXT_FRIENDS_DELETE_ALL_YOUR_FRIENDS	是否删除全部好友申请？	Do you delete all friends'applications?
	UI_TEXT_FRIENDS_CLICKED_ITEM_IS_SELF	当前点击的是自己，请重新选择！	The current click is on yourself, please re-select!
	UI_TEXT_FRIENDS_RECEIVE	领取	Receive
	UI_TEXT_CHAT_LOOSEN_FINGER_CANCEL_SENT	松开手指，取消发送	Release your finger and cancel sending
	UI_TEXT_CHAT_FINGER_UP_CANEL_SENT	手指上滑，取消发送	Slip your finger and cancel sending
	UI_TEXT_CHAT_TOUCH_SPEAK	按住说话	Hold to talk
	UI_TEXT_CHAT_UNREAD_MASSAGE	未读信息{0}条	Unread Information {0}
	UI_TEXT_CHAT_VOICE_TIME_NUMBER	{0}'	{0}'
	UI_TEXT_ONLY_DIAMONDS_OPEN	只能用钻石开启	Open only with diamonds
	UI_TEXT_SKILL_LEVEL_LESSTHAN_PLAYER_LEVEL	技能等级不能超过英雄等级	Skill level should not exceed hero level
	UI_TEXT_SKILL_LEVEL_UNLOCK_CONDITION	英雄Lv.{0}解锁	Hero Lv. {0} Unlock
	UI_TEXT_SKILL_LEVEL_EXP_MAX	技能已满级	Skills are up to grade
	UI_TEXT_ACHIEVE_WAY	获取途径	Access
	UI_TEXT_ENTER_THIRTY	点此输入，50字以内	Click on this input, within 50 words
	UI_TEXT_RECOMMEND_GS	推荐战力：	Recommended combat effectiveness:
	UI_TEXT_EMAIL_ANNEX	附件	Enclosure
	UI_TEXT_EMAIL_SURPLUS_DAYS	剩余{0}天	Residual {0} days
	UI_TEXT_EMAIL_NUMBER	当前邮件：{0}/{1}	Current mail: {0}/{1}
	UI_TEXT_EMAIL_NOT_RECEIVED	(未领取)	(Not received)
	UI_TEXT_EMALL_SEND_TIME	{0:yyyy-MM-dd HH:mm:ss}	{0:yyyy-MM-dd HH:mm:ss}
	UI_TEXT_ADD_MASK	添加屏蔽	Adding shielding
	UI_TEXT_EMAIL_RECEIVE_SUCCESS	领取物品成功！	Successful collection!
	UI_TEXT_EMAIL_DELETE_EMAIL	是否删除邮件？	Do you delete mail?
	UI_TEXT_EMAIL_DELETE_ALL_EMAIL	是否删除所有已读邮件？	Do you delete all read messages?
	UI_TEXT_EMAIL_STILL_DELETE	有未领取的附件，是否依然删除所有邮件？	Do you still delete all mail if you have unclaimed attachments?
	UI_TEXT_EMAIL_ALL_SUCCESS	所有附件已领取成功！	All attachments have been received successfully!
	UI_TEXT_EMAIL_A_KEY_TO_RECEIVE_NO_ATTACHMENTS	当前没有可领取的附件！	There is no accessory available at present!
	UI_TEXT_EMAIL_A_KEY_TO_DELETE_NO_MAIL	当前没有可删除的邮件！	There is currently no deletable mail!
	UI_TEXT_EMAIL_SENDER	[74BFF9]发件人：[-]{0}	[74BFF9] Sender: [-]{0}
	UI_TEXT_EMAIL_NOTHING	无	Nothing
	UI_TEXT_INSUFFICIENT_NUMBER	数量不足	Insufficient quantity
	UI_TEXT_BADGE_LEVEL_MAX	徽章已达到最大等级	The badge has reached its maximum rank.
	UI_TEXT_INSTANCE_ON_CONDITION	开启条件：本章探险副本星级数量累计达到{0}个	Opening Conditions: The total number of stars in this chapter's exploration replicas reaches {0}
	UI_TEXT_INSTANCE_LEVEL_CAN_NOT_OPEN_NEW_SECTION	{0}级开启	Open at {0} level
	UI_TEXT_INSTANCE_CLEARANCE_INSTANCE_OPEN_NEW_SECTION	通过XXX副本后，开启副本	Open the copy after passing the XXX copy
	UI_TEXT_BADGE_NUMBER_HAD	拥有数量：	Quantity:
	UI_TEXT_ONE_CLICK_INVITATION	一键邀请	One-click Invitation
	UI_TEXT_MERIDIAN_TOTAL_REWARDS	星图总加成：（全体英雄）	Star Chart Total Added: (All Heroes)
	UI_TEXT_MERIDIAN_ACCESS_ROUTE	（探险副本星级评价获得）	(Star rating for exploration duplicate)
	UI_BUTTON_ACTIVATION	激活	activation
	UI_TEXT_MERIDIAN_INSUFFICIENT_POINTS	星魂碎片不足	Insufficient ghost debris
	UI_TEXT_MERIDIAN_INSUFFICIENT_GOLD	金币不足，无法点亮星图	The gold coin is insufficient to light the star map.
	UI_TEXT_MERIDIAN_HERO_ATTRIBUTES_INCREASE	(全体英雄 {0}+{1})	(All heroes {0}+ {1})
	UI_BUTTON_DAILY_PLAY	活动	Activity
	UI_TEXT_GEAR_LEVEL	Lv {0}	Lv {0}
	UI_TEXT_GEAR_NAME_QUALITY_IMPROVEMENT	{0} +{1}	{0}+1}
	UI_TEXT_FUNCTION_ON_CONDITION	玩家等级达到{0}级时开启此功能	Turn on this function when player level reaches {0}level
	UI_TEXT_ACTIVITY_OPEN_LEVEL	{0}级开启	Open at {0} level
	UI_TEXT_FREE_REFRESH	免费刷新（{0}/{1}）	Free refresh ({0}/{1})
	UI_TEXT_HEROES_FULL_LEVEL	英雄已满级	The hero has reached his full rank.
	UI_TEXT_PROMOTION_VIP_BUY_MORE	提升VIP可增加购买次数	Improving VIP can increase the number of purchases
	UI_TEXT_BUY_ENERGY	购买体力	Purchasing physical strength
	UI_TEXT_BUY_TODAY	[3BCFFFFF]今日可购买次数：{0}/{1}[-]	[3BCFFF] The number of purchases available today: {0}/{1}[-]
	UI_TEXT_BUY_TODAY_COLOUR	[3BCFFFFF]今日可购买次数：[-][FF3526FF]{0}/{1}[-]	[3BCFFF] The number of purchases available today: [-] [FF3526FF] {0}/{1} [-]
	UI_BUTTON_BUY	购买	purchase
	UI_BUTTON_WATCH_VIP	查看VIP	View VIP
	UI_BUTTON_COMMON_CANCEL	取消	Cancel
	UI_TEXT_SETTLEMENT	扫荡	Sweep away
	UI_TEXT_BUY_GOLD	购买金币	Buy gold coins
	UI_TEXT_PROMPT_MESSAGE	提示信息	Tips
	UI_TEXT_WHETHER_TO_BUY_ENERGY	当前体力不足，是否购买体力？	At present, physical strength is insufficient. Do you buy physical strength?
	UI_TEXT_STAR_INSUFFICIENT	[B7CDD4FF]此副本未达到[FFC56BFF]3[-]星，是否挑战该副本？[-]	[B7CDD4FF] This copy does not reach [FFC56BFF] 3 [-] stars. Do you challenge this copy? [-]
	UI_TEXT_INSTANCE_MAY_FALL	可能掉落	Possible drop
	UI_TEXT_INSTANCE_UNDONE	还差 {0} {1} 个	There are still {0} {1} missing.
	UI_TEXT_INSTANCE_SETTLEMENT_NUMBER_OF_TIMES	扫荡[3BCFFFFF]{0}[-]次	Sweeping [3BCFFF] {0} [-] times
	UI_BUTTON_INSTANCE_START_SETTLEMENT	开始扫荡	Start sweeping
	UI_TEXT_INSTANCE_NUMBER_OF_RECEIVE	第{0}次获得：	The {0} times obtained:
	UI_BUTTON_SETTLEMENT_CONTINUE	继续扫荡	Continue to clean up
	UI_TEXT_NEED_ITEM	已获得 {0} {1} 个，还差 {2} 个	Number {0} {1} has been obtained and {2} is still missing.
	UI_TEXT_EXP_PLUS	经验+{0}	Experience +{0}
	UI_TEXT_GS_ALTOGETHER	英雄总战力：{0}	Heroic Total Combat Force: {0}
	UI_TEXT_RETURN_TO_THE_CITY	返回主城	Return to the main city
	UI_TEXT_RETURN_TO_THE_CHAPTER	返回章节	Return Chapter
	UI_TEXT_INSTANCE_COMMON	副本	Copy
	UI_TEXT_PROMOTION_PATH	提升途径：	Ways of promotion:
	UI_TEXT_CONGRATULATIONS	恭喜获得	Congratulations
	UI_TEXT_NOTICE_THE_TOTAL_FORCE	英雄总战力：	Heroic Total Combat Force:
	UI_TEXT_FORGING_SUCCESSFUL	锻造成功	Forging Success
	UI_TEXT_CHAT_SENDING_TIME	{0:MM-dd,HH:mm}"	{0:MM-dd, HH:mm}
	UI_BUTTON_DELETE_FRIENDS	确定要和该玩家断交吗？	Are you sure you want to break off with that player?
	UI_TEXT_NEED_ITEM_ENOUGH	已足够	Enough
	UI_TO_UPDATE	更新	To update
	UI_TEXT_DEFENSIVE_STRENGTH	防守战力	Defensive force
	UI_TEXT_CHALLENGE_THE_NUMBER_OF_THE_DAY	[B7CDD4FF]今日可以挑战次数：[-]{0}	[B7CDD4FF] Challenges Today: [-]{0}
	UI_TEXT_VIEW_RECORD	查看战报	Look at the War newspaper
	UI_BUTTON_VIEW_AWARDS	查看奖励	View rewards
	UI_BUTTON_DEFENSIVE_TEAM	更换阵容	Replacement of lineup
	UI_TEXT_RANKING	排名	Ranking
	UI_TEXT_FIGHTING_TIME_MINUTE	{0}分钟前	{0} minutes ago
	UI_TEXT_FIGHTING_TIME_HOUR	{0}小时前	{0} hours ago
	UI_TEXT_RANKING_UNCHANGED	排名不变	No change in ranking
	UI_TEXT_SETTLEMENT_REWARD	结算奖励	Settlement Award
	UI_TEXT_AWARD_TIME	[B7CDD4FF]每晚[3BCFFFFF]9[-]点根据排名领取奖励[-]	[B7CDD4FF] 9 [-] points per night [3BCFFFFF] are awarded according to ranking [-]
	UI_TEXT_EARN_REWARDS	获得奖励	Award
	UI_TEXT_OFFLINE_PVP_TEAM	排位赛阵容	Qualifying lineup
	UI_TEXT_OFFLINE_PVP_PURCHASES	[B7CDD4FF]是否购买[FFFFFFFF] 1 [-]次挑战次数？[-]	Does [B7CDD4FF] buy [FFFFFFFFFF] 1 [-] challenge times? [-]
	UI_TEXT_NUMBER_GREEN	[4EFF4AFF]{0}[-]	[4EFF4AFF] {0}[-]
	UI_TEXT_NUMBER_RAD	[FF3526FF]{0}[-]	[FF3526FF] {0}[-]
	UI_TEXT_NUMBER_GOLD	[FFD957FF]{0}[-]	[FFD957FF] {0}[-]
	UI_TEXT_OFFLINE_RECORD	战报	War report
	UI_TEXT_ARENA_TOKEN_INSUFFICIENT	排位币不足	Insufficient ranking currency
	UI_TEXT_ARENA_VIP_INFO	VIP{0}今日可购买次数：{1}/{2}	VIP {0} How many times can you buy today: {1}/{2}
	UI_TEXT_ARENA_VIP_MAX_BUY_COUNT	当前VIP等级已经达到了最大的购买次数	The current VIP level has reached the maximum number of purchases
	UI_TEXT_CONSTANT	不变	Unchanged
	UI_UPDATE_TEXT_DESCRIPTION	更新包大小{0}M，是否更新？	Update package size {0} M, is it updated?
	UI_TEXT_GENERAL_DRAW	普通抽奖	Ordinary Draw
	UI_TEXT_ADVANCED_DRAW	高级抽奖	Advanced Draw
	UI_TEXT_ACTIVE_DEGREE	活跃度	Activity
	UI_SIGN_DAILY_LOGIN_BUTTON	签到	Sign in
	UI_SIGN_THIS_MONTH_SIGNED	本月已签：[4EFF4AFF]{0}[-] 次	Signed this month: [4EFF4AFF]{0}[-]times
	UI_TEXT_REWARD_FROM_ACTIVITY	{0}活动获得	{0} activity acquisition
	UI_SIGN_VIP_DOUBLE	V{0} 双倍	V {0} double
	UI_OPERATIONAL_ACTIVITIES_MONTH_SIGN_IN	月签到	Monthly Sign-in
	UI_TEXT_PVP_OFFLINE_SHOP	排位赛商店	Qualification Shop
	UI_OPERATIONAL_ACTIVITIES_TITLE	活动	activity
	UI_UNOPENED_FUNCTION	功能即将开放，敬请期待。	The function will be open soon, please look forward to it.
	UI_TEXT_DAYBOX_ON_CONDITION	开启条件：今日活跃度达到{0}	Opening conditions: Today's activity reaches {0}
	UI_TEXT_DAYBOX_ON_CONDITION_1	开启条件：今日活跃度达到10	Opening Conditions: Today's activity reaches 10
	UI_TEXT_DAYBOX_ON_CONDITION_2	开启条件：今日活跃度达到40	Opening Conditions: Today's activity reaches 40
	UI_TEXT_DAYBOX_ON_CONDITION_3	开启条件：今日活跃度达到80	Opening Conditions: Today's activity reaches 80
	UI_TEXT_DAYBOX_ON_CONDITION_4	开启条件：今日活跃度达到100	Opening Conditions: Today's activity reaches 100
	UI_TEXT_ACTIVITY_COIN_IN	鎏金守卫出现，请速度击杀！	Gold guard appears, please kill quickly!
	UI_TEXT_PLAYERS_ARE_OFFLINE	该玩家已下线	The player is offline
	UI_MAIN_CHAT_CONTENT_PLAYER	[E6E5C3FF]{0}：[-]{1}	[E6E5C3FF] {0}: [-] {1}
	UI_MAIN_CHAT_CONTENT_SYSTEM	[4EFF4AFF]{0}：[-]{1}	[4EFF4AFF] {0}: [-] {1}
	UI_TEXT_NUMBER_OF_FRAGMENTS	碎片数：{0}/{1}	Number of fragments: {0}/{1}
	UI_TEXT_HERO_GS_TEXT	战力  {0}	Force {0}
	UI_TEXT_HERO_DETAILS	英雄详情	Details of Heroes
	UI_FIGHTING_CAPACITY_RANKS	当前阵容战力  {0}	Current lineup strength {0}
	UI_TEXT_NEED_LEVEL_OPEN	{0}级开启	Open at {0} level
	UI_TUTORIAL_TIP_MOVE	手指滑动[F4D76BFF]摇杆[-]，让角色移动至[F4D76BFF]光圈[-]位置	The finger slides the [F4D76BFF] rocker [-] to move the character to the [F4D76BFF] aperture [-] position.
	UI_TUTORIAL_TIP_SWITCH	点击[F4D76BFF]头像[-]即可切换任一[F4D76BFF]英雄[-]	Click on [F4D76BFF] Avatar [-] to switch any [F4D76BFF] hero [-]
	UI_TUTORIAL_TIP_COMBO	连续点击[F4D76BFF]技能图标[-]，使用[F4D76BFF]连续技[-]攻击敌人	Continuously click on the skill icon of [F4D76BFF] [-], and attack the enemy with [F4D76BFF] [-]
	UI_TUTORIAL_TIP_SKILL	点击[F4D76BFF]技能图标[-]，试一试更强力的[F4D76BFF]技能[-]	Click on the [F4D76BFF] Skills icon [-], and try the more powerful [F4D76BFF] Skills [-]
	UI_TUTORIAL_TIP_DODGE	点击[F4D76BFF]技能图标[-]，即可[F4D76BFF]闪避[-]到安全的位置	Click on the skill icon [-] [F4D76BFF], and then [F4D76BFF] dodges [-] to a safe location.
	UI_TEXT_NOTICE_ENERGYNOTENOUGH	体力不足	Lack of physical strength
	UI_TEXT_TEAM_FOR_INSTANCE	探险出战	Exploration and war
	UI_TEXT_TEAM_FOR_PVP	PVP出战	PVP in battle
	UI_TEXT_PLAYER_LEVEL_UP	等级提升	Level Upgrade
	UI_TEXT_MERIDAN_RECEIVE	通关探险关卡可以获得星魂碎片	Debris of the Star can be obtained from customs clearance and expedition checkpoints
	UI_TEXT_CLEANOUT_SUCCESS	扫荡成功	Successful sweeping
	UI_TEXT_VALUE_ADDITION	数值加成	Numerical addition
	UI_TEXT_ADDITION_INTO_BATTLE	上阵加成	Pre-battle bonus
	UI_TEXT_SKLII_CD_TIME	冷却时间：{0}秒	Cooling time: {0} seconds
	UI_TEXT_SKILL_ENHANCE_THE_BADGE	增强徽章	Enhanced Badge
	UI_TEXT_BIOGRAPHY	传记	Biography
	UI_TEXT_FINAL_RANKING	最终排名	Final ranking
	UI_TEXT_TOTAL_POINTS	总积分：{0}	Total Integral: {0}
	UI_TEXT_MY_SCORES	我的积分：{0}	My integral: {0}
	UI_TEXT_CHALLENGE_IS_OVER	战斗结束	The battle ended
	UI_TEXT_MELEE_MY_INTEGRAL	[4EFF4AFF]我的积分[-]	[4EFF4AFF] My integral [-]
	UI_TEXT_MELEE_KILL_PLAYER	{0}击杀了{1}	{0} Killed {1}
	UI_TEXT_MELEE_RESURRECTION_TIME	复活时间：[FFC56BFF]{0}s[-]	Resurrection time: [FFC56BFF] {0} s [-]
	UI_TEXT_MELEE_WHO_KILL_YOU	你被{0}击杀	You were killed by {0}
	UI_TEXT_MELEE_WAS_KILLED	被击杀	Killed
	UI_TEXT_MELEE_PLAY_DESCRIPTION	击杀其他队伍玩家可以获得积分和大量经验。`NL``NL`击杀蜘蛛可以获得经验，后期击杀大型蜘蛛可以获得大量经验和少量积分。`NL``NL`击碎绿色水晶回复生命。击碎黄色水晶回复霸体。击碎蓝色水晶提高移动速度`NL``NL`积分高低决定胜负。	Killing other team players can gain points and a lot of experience. ` NL `NL ` killing spiders can gain experience, while later killing large spiders can gain a lot of experience and a small amount of points. ` NL `NL ` smashes green crystals and restores life. Shatter the Yellow Crystal to regain its hegemony. Breaking blue crystal and increasing moving speed `NL `NL ` integral decide the victory or defeat.
	UI_TEXT_GAME_DESCRIPTION	玩法说明	How to play
	UI_TEXT_SKILL_UNLOCKED	未解锁：玩家到达{0}级后解锁	Ununlocked: Players unlock after reaching {0} level
	UI_BUTTON_PVP_START	开始匹配	Start matching
	UI_BUTTON_PVP_MINE	我的阵容	My lineup
	UI_TEXT_PVP_RANK	赛季排名：	Season rankings:
	UI_TEXT_PVP_SCORE	赛季积分：	Season points:
	UI_TEXT_PVP_LOADING	正在匹配中	Matching in progress
	UI_TEXT_PVP_ENTRY	即将进入	Imminent Entry
	UI_TEXT_PVP_STARTTIME	开放时间：{0}	Open time: {0}
	UI_TEXT_PVP_CLASS	荣耀战魂	Glorious Soul of War
	UI_TEXT_PVP_SEASON	第二赛季	Second season
	UI_BUTTON_ACTIVITY_JOIN	参加	Participate in
	UI_TEXT_CHARGE	充点小钱玩一玩	Have a little money to play with
	UI_TEXT_CHARGE_1	再充值[d9ff00FF]{0}钻石[-]即可升级 	Refill [d9ff00FF] {0} diamond [-] to upgrade
	UI_TEXT_CHARGE_2	[c9d1ffFF]（1RMB=10钻石）[-]	[c9d1ffFF] (1RMB = 10 diamonds) [-]
	UI_TEXT_CHARGE_3	首冲购买双倍，充值即送等额钻石 	Buy twice as many diamonds as you want, and send the same amount of diamonds when you recharge them.
	UI_TEXT_CHARGE_4	立返[fff600FF]{0}钻[-]	Return [fff600FF] {0} drill [-]
	UI_TEXT_CHARGE_5	首冲享双倍	Double the first charge
	UI_TEXT_CHARGE_6	{0}元	{0} yuan
	UI_TEXT_CHARGE_7	[fff600FF]30[-]天内每天赠送[fff600FF]160[-]钻	[fff600FF]160[-] drills are given daily within 30[-] days
	UI_TEXT_CHARGE_8	[fff600FF]30[-]天内每天赠送[fff600FF]100[-]钻	[fff600FF] 100 [-] drills are presented every day for 30 [-] days
	UI_TEXT_CHARGE_9	推荐	Recommend
	UI_TEXT_CHARGE_HIGHCARD	[b]高级月卡说明[/b]\n购买后立返[fff600FF]68[-]钻石，\n[fff600FF]30[-]天内，每天可领取[fff600FF]160[-]钻石\n此卡可以和中级月卡同时购买	[b] Advanced Monthly Card Description [/b]\ n Return [fff600FF] 68 [-] Diamonds after purchase, n [fff600FF] 30 [-] days, every day can receive [fff600FF] 160 [-] Diamond \ n This card can be purchased at the same time as intermediate monthly card.
	UI_TEXT_CHARGE_MEDIUMCARD	[b]中级月卡说明[/b]\n购买后立返[fff600FF]26[-]钻石，\n[fff600FF]30[-]天内，每天可领取[fff600FF]100[-]钻石\n此卡可以和高级月卡同时购买	[b] Intermediate monthly card shows that [/b]\ n will return to [fff600FF] 26 [-] diamonds after purchase, n [fff600FF] within 30 [-] days and can receive [fff600FF] 100 [-] diamonds n every day. This card can be purchased at the same time as the advanced monthly card.
	UI_TEXT_NAME_HIGHCARD	高级月卡	Advanced Monthly Card
	UI_TEXT_NAME_MEDIUMCARD	中级月卡	Intermediate monthly card
	UI_TEXT_PVP_RESULT_PLAYER_NAME	{0} (Lv.{1})	{0} (Lv. {1})
	UI_WELFARE_TITLE_BAG	每日特惠	Daily Deal
	UI_WELFARE_BAG_OVERVALUE	{0}元超值礼包	The {0} meta-value gift package
	UI_WELFARE_BAG_OBTAINED	可获得物品	Available goods
	UI_WELFARE_BAG_PURCHASE	[00FF00FF]每日限购[FF0000FF]{0}[-]次[-]	[00FF00FF] Limited purchase of [FF0000FF] {0}[-] times per day [-]
	UI_WELFARE_BAG_BUY	{0}元购买	Buy {0} yuan
	UI_WELFARE_BAG_TEXT	今日次数用完，\n每日可继续购买	Use up the number of times today, \n can continue to buy every day
	UI_WELFARE_BAG_DESC1	B级英雄随机碎片*1\n\n体力*50\n\n金币*10000	Random Fragments of Class B Heroes*1nn Physical Strength*50nnn Gold Coin*10 000
